帆船名称,Beam（船宽）,Displacement（排水量）,S.A./Disp.（帆面积与排水量之比）,燃料容量,水容量,Rigging Type（索具类型）,制造商,型号,Mast Height from DWL（离水线至桅杆顶部的高度）
Passport-470-Center-Cockpit,4.57 m,"17,010 kg",16.9,605 L,"1,200 L",Cutter rig (双桅单前帆),Passport,470 Center Cockpit,19.30 m
Grand-Soleil-40-B&C,3.85 m,"8,900 kg",21.3,200 L,360 L,Fractional rig (分帆桅),Grand Soleil,40 B&C,18.5 m
X-Yachts-X-55,4.97 m,"18,500 kg",20,500 L,608 L,Fractional rig (分帆桅),X-Yachts,X-55,28.20 m
Jeanneau-Sun-Odyssey-44i,4.37 m,"9,900 kg",17.7,200 L,400 L,Fractional rig (分帆桅),Jeanneau,Sun Odyssey 44i,19.20 m
Beneteau-Oceanis-40,3.91 m,"8,260 kg",17.6,200 L,360 L,Fractional rig (分帆桅),Beneteau,Oceanis 40,17.15 m
Dehler-47-SQ,4.50 m,"12,600 kg",22.3,250 L,500 L,Fractional rig (分帆桅),Dehler,47 SQ,23.20 m
Solaris-One-44,4.18 m,"10,300 kg",23.4,280 L,400 L,Fractional rig (分帆桅),Solaris,One 44,21.80 m
Dufour-460-GL,4.50 m,"11,200 kg",21.1,250 L,530 L,Fractional rig (分帆桅),Dufour,460 Grand Large,21.40 m
Beneteau-Cyclades-43.3,4.43 m,"9,400 kg",16.2,200 L,530 L,Masthead sloop (单桅单前帆),Beneteau,Cyclades 43.3,17.20 m
Nauticat-42,3.50 m,"14,500 kg",12.5,750 L,750 L,Ketch rig (双桅双前帆),Nauticat,42,16.50 m
Beneteau-Oceanis-51,4.92 m,"13,930 kg",16.2,200 L,694 L,铰链轴单桅帆（船首帆）,Beneteau,Oceanis 51,22.95 m
Beneteau-Oceanis-46.1,4.41 m,"10,938 kg",16.5,200 L,370 L,铰链轴单桅帆（船首帆）,Beneteau,Oceanis 46.1,20.60 m
Dufour-500,4.80 m,"14,000 kg",16.2,440 L,720 L,铰链轴单桅帆（船首帆）,Dufour,500,21.10 m
Elan-444-Impression,4.18 m,"10,600 kg",17.3,270 L,516 L,铰链轴单桅帆（船首帆）,Elan,444 Impression,20.5 m
Grand-Soleil-45,4.41 m,"12,500 kg",19.2,250 L,500 L,分帆桅,Grand Soleil,45,21.8 m
Moody-45-DS-e,4.74 m,"16,100 kg",15.2,440 L,600 L,铰链轴单桅帆（船首帆）,Moody,45 DS e,21.6 m
Beneteau-First-40-CR,3.89 m,"7,900 kg",20.2,130 L,330 L,铰链轴单桅帆（船首帆）,Beneteau,First 40 CR,18.90 m
Morris-M42,3.94 m,"10,432 kg",19.4,130 L,300 L,铰链轴单桅帆（船首帆）,Morris Yachts,M42,17.68 m
Beneteau-First-40,3.89 m,"7,750 kg",21.1,130 L,360 L,铰链轴单桅帆（船首帆）,Beneteau,First 40,19.18 m
Island-Packet-370,4.06 m,"10,886 kg",16.3,378.5 L,757 L,Full rig (全帆桅),Island Packet,370,16.64 m
Jeanneau-Sun-Odyssey-44-DS,4.42 m,"9,900 kg",17.1,200 L,400 L,In-mast furling (桅内滚动),Jeanneau,Sun Odyssey 44 DS,16.80 m
J-boats-J-122,3.63 m,"7,711 kg",23.4,150 L,246 L,Fractional rig (分帆桅),J/Boats,J/122,18.77 m
Beneteau-Oceanis-46-Owner-Version,4.25 m,"10,869 kg",15.6,200 L,530 L,In-mast furling (桅内滚动),Beneteau,Oceanis 46 Owner Version,18.20 m
Beneteau-Oceanis-50,4.82 m,"13,880 kg",15,400 L,980 L,In-mast furling (桅内滚动),Beneteau,Oceanis 50,18.25 m
Jeanneau-Sun-Odyssey-40.9,3.98 m,"7,850 kg",18.4,200 L,320 L,Full rig (全帆桅),Jeanneau,Sun Odyssey 40.9,18.30 m
Van-De-Stadt-Norman-41,4.11 m,"10,500 kg",15.6,360 L,720 L,Full rig (全帆桅),Van de Stadt,Norman 41,18.70 m
Jeanneau-51,4.69 m,"14,400 kg",14.8,240 L,640 L,Full rig (全帆桅),Jeanneau,Sun Odyssey 51,22.20 m
Morris-M42X,4.06 m,"9,296 kg",20.7,180 L,320 L,Fractional rig (分帆桅),Morris Yachts,M42X,20.12 m
Elan-Impression-45,4.37 m,"12,600 kg",18.4,270 L,516 L,Fractional rig (分帆桅),Elan,Impression 45,20.73 m
X-Yachts-X-41-One-Design,3.50 m,"7,800 kg",24,200 L,340 L,Fractional rig (分帆桅),X-Yachts,X-41 One Design,19.95 m
Dufour-455-GL,4.50 m,"10,900 kg",17.2,250 L,530 L,Fractional rig (分帆桅),Dufour,455 Grand Large,19.35 m
Dufour-405-GL,4.20 m,"9,900 kg",19,200 L,360 L,Fractional rig (分帆桅),Dufour,405 Grand Large,18.70 m
Beneteau-First-44.7,4.25 m,"9,900 kg",22.7,200 L,360 L,Fractional rig (分帆桅),Beneteau,First 44.7,20.60 m
Passport-470,4.50 m,"15,000 kg",15.5,700 L,900 L,Cutter rig (双桅单前帆),Passport,470 CC,19.50 m
Elan-IMPRESSION-394,3.91 m,"8,600 kg",19,200 L,516 L,Fractional rig (分帆桅),Elan,Impression 394,18.33 m
Vismara-V50-DS,4.35 m,"13,000 kg",19.8,300 L,700 L,Fractional rig (分帆桅),Vismara,V50 Deck Saloon,21.20 m
Jeanneau-Sun-Odyssey-39i,3.88 m,"7,900 kg",17.2,130 L,320 L,Fractional sloop (分帆桅单前帆),Jeanneau,Sun Odyssey 39i,17.20 m
Jeanneau-Sun-Odyssey-48-DS,4.75 m,"12,800 kg",16.2,240 L,930 L,Cutter rig (双桅单前帆),Jeanneau,Sun Odyssey 48 DS,19.15 m
Cabo-Rico-42,3.90 m,"12,500 kg",16.3,340 L,800 L,Cutter rig (双桅单前帆),Cabo Rico,42,17.83 m
Dufour-450-GL,4.30 m,"11,865 kg",18.4,250 L,530 L,Fractional sloop (分帆桅单前帆),Dufour,450 Grand Large,18.80 m
Dufour-485,4.70 m,"14,210 kg",16.2,250 L,720 L,Fractional sloop (分帆桅单前帆),Dufour,485 Grand Large,21.00 m
Dufour-410-GL,4.20 m,"8,900 kg",20.4,200 L,380 L,Fractional sloop (分帆桅单前帆),Dufour,410 Grand Large,17.70 m
X-Yachts-X4.6,4.42 m,"13,000 kg",19.4,360 L,460 L,Fractional sloop (分帆桅单前帆),X-Yachts,X4.6,21.80 m
Tayana-Pilothouse,4.32 m,"16,300 kg",15,800 L,"1,000 L",Cutter rig (双桅单前帆),Tayana,Pilothouse,18.90 m
Jeanneau 49i,4.49,"11,400",16.1,240,700,Roller furling,Jeanneau,Sun Odyssey 49i,16.75
Sunbeam 53,4.75,"18,000",17.1,700,"1,000",Roller furling,Sunbeam,53,22.25
Elan Impression 494,4.68,"14,600",15.3,440,780,Roller furling,Elan,Impression 494,20.5
Dufour 512 GL,4.97,"15,800",15.2,500,720,Roller furling,Dufour,512 GL,21.25
Jeanneau Sun Odyssey 39i Performance,3.88,"7,700",20.5,130,355,Roller furling,Jeanneau,Sun Odyssey 39i P,14.8
Poncin Harmony 52,4.82,"14,000",15.9,500,"1,000",Roller furling,Poncin,Harmony 52,21.5
Vismara V52,4.5,"14,000",16.8,280,600,Full batten mainsail,Vismara,V52,22.3
Beneteau Oceanis 41 Owners Version,4.2,"8,820",17.2,200,570,Roller furling,Beneteau,Oceanis 41 OV,15.1
RM Yachts RM 1200,4.35,"8,950",20.1,200,400,Full batten mainsail,RM Yachts,RM 1200,19.95
Hunter 41 Deck Salon,4.27,"9,900",16,189,284,In-mast furling,Hunter,41 DS,16.76
Jeanneau Sun Odyssey 409,3.99,"7,700",17.4,200,330,Fractional,Jeanneau,Sun Odyssey 409,16.2
Dufour 410,4.2,"8,900",17.6,200,380,Fractional,Dufour,410,18.7
Elan Impression 444,4.18,"11,500",18.2,270,800,Fractional,Elan,Impression 444,18.7
Comar Comet 45s,4.2,"11,900",19,230,600,Fractional,Comar,Comet 45s,19.5
X-Yachts X-40,3.81,"7,900",19.5,200,320,Fractional,X-Yachts,X-40,18.8
Dehler 38 Competition,3.75,"6,900",20.8,150,300,Fractional,Dehler,38 Competition,17.5
Van De Stadt Beluga 46,4.38,"14,800",13.4,350,800,Cutter,Van De Stadt,Beluga 46,18.6
Bavaria Cruiser 46 Style,4.35,"12,600",16,210,360,Fractional,Bavaria,Cruiser 46 Style,19.05
Sly 53,4.73,"13,000",19,400,900,Fractional,Sly Yachts,Sly 53,22.5
Beneteau Oceanis 523 A,4.88,"16,800",13.4,450,1000,Cutter,Beneteau,Oceanis 523 A,22.35
Jeanneau Sun Odyssey 449,4.24 m,"10,262 kg",16.9,200 L,530 L,有桅三角型,Jeanneau,Sun Odyssey 449,17.35 m
Elan 40 Impression,3.91 m,"8,800 kg",16.2,165 L,516 L,有桅三角型,Elan,Impression 40,17.75 m
Island Packet SP Cruiser,4.50 m,"15,420 kg",16.4,682 L,757 L,有桅三角型,Island Packet,SP Cruiser,18.59 m
Beneteau Moorings 42.3,4.10 m,"8,750 kg",16,200 L,530 L,有桅三角型,Beneteau,Moorings 42.3,16.80 m
Archambault 40 RC,3.85 m,"5,900 kg",26.3,150 L,200 L,战略型帆具,Archambault,40 RC,17.70 m
Jeanneau Sun Odyssey 479,4.49 m,"11,040 kg",17.1,240 L,618 L,有桅三角型,Jeanneau,Sun Odyssey 479,21.70 m
Wauquiez Centurion 40s,4.05 m,"8,900 kg",19.4,200 L,480 L,有桅三角型,Wauquiez,Centurion 40s,17.40 m
Jeanneau Sun Odyssey 41DS,4.00 m,"8,995 kg",16.7,200 L,530 L,有桅三角型,Jeanneau,Sun Odyssey 41DS,16.58 m
Hunter 44 Deck Salon,4.27 m,"11,340 kg",15.5,227 L,568 L,有桅三角型,Hunter,44 Deck Salon,18.52 m
Beneteau Oceanis 38.1,3.99 m,"6,400 kg",18.2,130 L,330 L,有桅三角型,Beneteau,Oceanis 38.1,16.46 m
Grand-Soleil-50,4.57 m,"14,100 kg",17.87,300 L,700 L,三角帆 (Cutter),Grand Soleil,Grand Soleil 50,22.1 m
Vismara-V50-Mills,4.05 m,"9,000 kg",25.86,300 L,700 L,三角帆 (Cutter),Vismara,Vismara V50 Mills,N/A
Jeanneau-Sun-Odyssey-54-DS,4.87 m,"17,700 kg",17.09,410 L,930 L,三角帆,Jeanneau,Jeanneau Sun Odyssey 54 DS,21.1 m
Beneteau-Oceanis-Clipper-473,4.31 m,"11,500 kg",17.28,235 L,"1,000 L",三角帆,Beneteau,Beneteau Oceanis Clipper 473,17.2 m
Bavaria-51-Cruiser,4.67 m,"14,500 kg",16.16,280 L,560 L,三角帆,Bavaria,Bavaria 51 Cruiser,21.75 m
Beneteau-First-47.7,4.50 m,"11,300 kg",23.62,235 L,700 L,三角帆,Beneteau,Beneteau First 47.7,20.6 m
Jeanneau-Sun-Odyssey-43-DS,4.42 m,"9,400 kg",17.21,200 L,530 L,三角帆,Jeanneau,Jeanneau Sun Odyssey 43 DS,18.0 m
Beneteau-Oceanis-49,4.82 m,"12,600 kg",16.34,400 L,"1,000 L",三角帆,Beneteau,Beneteau Oceanis 49,19.15 m
Bavaria-42-Cruiser,4.29 m,"9,500 kg",17.54,210 L,360 L,三角帆,Bavaria,Bavaria 42 Cruiser,17.67 m
Malo-40-Classic-MK-Il,3.86 m,"10,000 kg",16.52,230 L,375 L,滚动桅 (sloop),Malo,40 Classic MK Il,17.7 m
J-Boats-J-122,3.63 m,"7,560 kg",20.08,189 L,162 L,滚动桅 (sloop),J-Boats,J-122,19.0 m
Dufour-44,4.25 m,"9,430 kg",18.63,250 L,530 L,滚动桅 (sloop),Dufour,44,20.95 m
Beneteau-Oceanis-43.4,4.12 m,"8,730 kg",16.45,200 L,360 L,滚动桅 (sloop),Beneteau,Oceanis 43.4,17.2 m
Dufour-430-GL,4.30 m,"10,900 kg",17.25,250 L,430 L,滚动桅 (sloop),Dufour,430 GL,19.7 m
Grand-Soleil-37-B&C,3.75 m,"6,600 kg",17,200 L,360 L,滚动桅 (sloop),Cantiere del Pardo,Grand Soleil 37 B&C,16.9 m
Elan-494-Impression,4.64 m,"14,200 kg",14.8,440 L,820 L,滚动桅 (sloop),Elan,Impression 494,20.55 m
X-Yachts-X-43,4.13 m,"9,900 kg",20.1,200 L,340 L,滚动桅 (sloop),X-Yachts,X-43,21.7 m
RM-Yachts-rm-12.60,4.35 m,"11,500 kg",17.6,300 L,640 L,滚动桅 (sloop),RM Yachts,RM 12.60,21.0 m
Beneteau-Sense-50,4.86m,"14,200kg",18.44,600L,970L,Sloop,Beneteau,Sense 50,22.14m
Elan-40-E5,3.91m,"8,800kg",19.15,170L,320L,Fractional Sloop,Elan,Impression 40,18.50m
Beneteau-41.1,4.20m,"8,880kg",16.91,200L,570L,Sloop,Beneteau,Oceanis 41.1,17.25m
Hanse-588,5.20m,"20,100kg",19.14,520L,810L,Sloop,Hanse,Hanse 588,26.35m
Beneteau-First-50-Sport,4.47m,"12,400kg",21.1,400L,630L,Sloop,Beneteau,First 50,22.30m
Beneteau-Oceanis-50-F-G5,4.47m,"12,935kg",16.52,400L,980L,Sloop,Beneteau,Oceanis 50 Family,20.30m
Dufour-450-Liberty-version,4.30m,"10,540kg",17.22,250L,570L,Sloop,Dufour,Dufour 450 Grand Large,20.75m
Bavaria-39-Cruiser,3.97m,"8,300kg",16.36,210L,360L,Sloop,Bavaria,Bavaria Cruiser 39,17.75m
Beneteau-First-40.7,3.75m,"7,900kg",22.05,200L,320L,Fractional Sloop,Beneteau,First 40.7,18.90m
Dufour-380,3.85m,"7,868 kg",17.2,200 L,360 L,7月8日,Dufour,380,17.20m
Jeanneau-Sun-Odyssey-42i,4.13m,"8,925 kg",17.2,130 L,355 L,7月8日,Jeanneau,Sun Odyssey 42i,17.25m
Beneteau-Oceanis-55,4.98m,"16,400 kg",18.6,480 L,"1,000 L",9月10日,Beneteau,Oceanis 55,25.23m
Jeanneau-53,4.77m,"14,530 kg",18.1,240 L,950 L,9月10日,Jeanneau,53,21.70m
Jeanneau-Sun-Odyssey-410,4.20m,"8,925 kg",17.2,200 L,330 L,7月8日,Jeanneau,Sun Odyssey 410,17.05m
Dufour-430,4.30m,"10,870 kg",16.1,250 L,380 L,9月10日,Dufour,430 Grand Large,17.10m
Bavaria-Cruiser-46S,4.35m,"12,600 kg",16.1,210 L,410 L,9月10日,Bavaria,Cruiser 46S,21.90m
Morris-Ocean-Series-48,4.42m,"14,970 kg",16.8,400 L,750 L,Cutter,Morris Yachts,Ocean Series 48,22.30m
RM-Yachts-1260,4.35m,"9,800 kg",20,200 L,400 L,9月10日,RM-Yachts,RM 1260,18.75m
Dufour-525-GL,4.90m,"15,200 kg",18.4,500 L,790 L,9月10日,Dufour,525 Grand Large,23.50m
Triplast-Y-40,3.7 m,-,-,-,-,-,Triplast,Y-40,-
Jeanneau-Sun-Odyssey-40.3,3.9 m,"7,600 kg",16.43,136 L,320 L,Sloop,Jeanneau,Sun Odyssey 40.3,16.05 m
Grand-Soleil-46,4.4 m,"12,800 kg",18.48,230 L,600 L,Sloop,Cantiere del Pardo,Grand Soleil 46,-
Passport-Vista-545-Center-Cockpit,4.57 m,"19,500 kg",-,-,-,Ketch,Passport Yachts,Vista 545 Center Cockpit,-
Nautor-Swan-54,4.76 m,"20,000 kg",19.52,500 L,750 L,Sloop,Nautor Swan,Swan 54,23.50 m
Sunbeam-42.1,4.22 m,"12,000 kg",17.01,210 L,360 L,Sloop,Sunbeam Yachts,Sunbeam 42.1,19.40 m
Elan-50-Impression,4.68 m,"13,900 kg",-,-,-,Sloop,Elan Yachts,Impression 50,20.20 m
Jeanneau-Sun-Odyssey-419,4.20 m,"8,950 kg",17.08,200 L,330 L,Sloop,Jeanneau,Sun Odyssey 419,16.65 m
Bavaria-49-Cruiser,4.46 m,"12,300 kg",16.29,320 L,650 L,Sloop,Bavaria Yachtbau,Bavaria Cruiser 49,19.29 m
X-Yachts-Xc-42,4.11 m,"10,900 kg",20.98,200 L,330 L,Sloop,X-Yachts,Xc 42,19.70 m
Hanse-540,4.91 m,"16,000 kg",15.52,400 L,690 L,Fractional,Hanse,Hanse 540,22.5 m
Jeanneau-Sun-Odyssey-49i-Performance,4.49 m,"12,000 kg",19.67,240 L,700 L,Fractional,Jeanneau,Sun Odyssey 49i Performance,18.2 m
Zuanelli-52-DH,4.48 m,-,-,-,-,-,Zuanelli,52 DH,-
Beneteau-Oceanis-Clipper-523,5.0 m,"16,400 kg",14.02,450 L,1000 L,Masthead,Beneteau,Oceanis Clipper 523,24.7 m
Oyster-53,4.88 m,"22,680 kg",15.34,900 L,950 L,Masthead,Oyster,Oyster 53,21.7 m
Beneteau-Oceanis-41,4.20 m,"8,320 kg",17.23,200 L,570 L,Fractional,Beneteau,Oceanis 41,16.3 m
Hunter-40,4.04 m,"9,300 kg",17.04,189 L,568 L,Fractional,Hunter,Hunter 40,17.9 m
