Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year,宽度（米）,排水量（千克）,面积排水比（SA/Disp）,燃油容量（升）,水容量（升）,帆具类型,Mast Height from DWL（离水线至桅杆顶部的高度）
Fountaine Pajot,Helia 44,43.6,USA,Florida,399000,2016,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,USA,Florida,399000,2016,7.54,11300,19.94,700,700,Fountaine Pajot,
Bali,4.5,44.6,Europe,Spain,363154,2016,7.88,15500,16.68,400,800,Fractional sloop,20.75
Nautitech,46 Fly,45,Caribbean,British Virgin Islands,519000,2016,7.54,12500,18.1,600,600,Sloop,20.8
Lagoon,45F,45.8,Europe,Greece,472895,2016,7.7,15500,15.1,600,700,Fractional sloop,22.5
Leopard,48 Crewed Version,48,Caribbean,British Virgin Islands,465000,2016,7.57,18600,19.7,700,780,Fractional Sloop,23.4
Fountaine Pajot,SABA 50,49,Caribbean,Saint-Martin,735636,2016,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Caribbean,Guadeloupe,667544,2016,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Caribbean,Martinique,601884,2016,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Caribbean,Martinique,595804,2016,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Caribbean,British Virgin Islands,595000,2016,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50 Maestro,49,Europe,Spain,922450,2016,14.98,15700,14.93,1060,700,Sloop,7.99
Fountaine Pajot,SABA 50,49,Europe,Greece,825350,2016,7.99,14000,18.8,940,700,Sloop,
Lagoon,52F,52,Caribbean,Panama,690000,2016,15.84,26000,10,1000,960,Sloop,8.74
Dix Harvey,DH550,55,Europe,Spain,845069,2016,16.76,14000,16.76,900,700,Sloop,8.23
Dix Harvey,DH550,55,Europe,Spain,845069,2016,16.76,14000,16.76,900,700,Sloop,8.23
Leopard,40,39,Caribbean,Bahamas,209999,2017,6.72,8900,18.2,350,780,Sloop,
Fountaine Pajot,Lucia 40,39,Europe,France,497637,2017,6.7,10500,17.5,300,530,Sloop,17.2
Fountaine Pajot,Lucia 40,39,Europe,Greece,473732,2017,6.7,10500,17.5,300,530,Sloop,17.2
Fountaine Pajot,Lucia 40,39,Europe,Greece,473362,2017,6.7,10500,17.5,300,530,Sloop,17.2
Lagoon,400 S2,39,Europe,Greece,388703,2017,7.25,10900,20.5,400,600,Sloop,
Fountaine Pajot,Lucia 40,39,Europe,Croatia,363765,2017,6.7,10500,17.5,300,530,Sloop,17.2
Fountaine Pajot,Lucia 40,39,Europe,Croatia,363765,2017,6.7,10500,17.5,300,530,Sloop,17.2
Fountaine Pajot,Lucia 40 Owner's Version,39,USA,Florida,495000,2017,6.72,8900,17.3,300,530,Sloop,
Seawind,1190 Sport,39,USA,Washington,400000,2017,7.9,8500,26.4,300,400,Fractional Sloop,18.22
Seawind,1190 Sport,39,USA,Washington,400000,2017,7.9,8500,26.4,300,400,Fractional Sloop,18.22
Bali,4.3,42,Europe,Greece,452325,2017,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Lagoon,42 Owners Version,42.5,Europe,Spain,546613,2017,7.7,12600,18.75,300,600,Sloop,19.8
Lagoon,42 Owners Version,42.5,Europe,Spain,545648,2017,7.7,12600,18.75,300,600,Sloop,19.8
Bali,4.3,43,Europe,Greece,449087,2017,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Fountaine Pajot,Helia 44,43.6,Caribbean,British Virgin Islands,540000,2017,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Caribbean,British Virgin Islands,529000,2017,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,USA,Florida,450000,2017,7.54,11300,19.94,700,700,Fountaine Pajot,
Bali,4.5,44.6,Europe,Italy,601884,2017,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Italy,601275,2017,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Greece,426790,2017,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Greece,350908,2017,7.88,15500,16.68,400,800,Fractional sloop,20.75
Nautitech,46 Fly,45,Caribbean,British Virgin Islands,519000,2017,7.54,12500,18.1,600,600,Sloop,20.8
Nautitech,46 Fly,45,Europe,Greece,662010,2017,7.54,12500,18.1,600,600,Sloop,20.8
Nautitech,46 Fly,45,Europe,Greece,661494,2017,7.54,12500,18.1,600,600,Sloop,20.8
Nautitech,46 Fly,45,Europe,Croatia,525317,2017,7.54,12500,18.1,600,600,Sloop,20.8
Nautitech,46 Fly,45,Europe,Croatia,523822,2017,7.54,12500,18.1,600,600,Sloop,20.8
Lagoon,450S,45.8,Europe,Portugal,600000,2017,13.96,16800,9,1040,700,Sloop,7.87
Lagoon,450S,45.8,Europe,Portugal,600000,2017,13.96,16800,9,1040,700,Sloop,7.87
Lagoon,450S,45.8,Europe,France,582024,2017,13.96,16800,9,1040,700,Sloop,7.87
Lagoon,450S,45.8,Europe,Spain,582024,2017,13.96,16800,9,1040,700,Sloop,7.87
Bali,4.6,46.85,Europe,Spain,314051,2017,7.42,16800,15.8,800,800,Fractional,20.96
Fountaine Pajot,SABA 50,49,Caribbean,U.S. Virgin Islands,1039617,2017,7.99,14000,18.8,940,700,Sloop,
Lagoon,52F,52,Caribbean,U.S. Virgin Islands,1100000,2017,15.84,26000,10,1000,960,Sloop,8.74
Lagoon,52F,52,Europe,Sweden,547167,2017,15.84,26000,10,1000,960,Sloop,8.74
Lagoon,52F,52,Europe,Croatia,479805,2017,15.84,26000,10,1000,960,Sloop,8.74
Privilege,Series 5,56,Caribbean,Guadeloupe,1094334,2017,8.33,16900,20.63,1100,960,Sloop,21.3
Leopard,40,39,Caribbean,U.S. Virgin Islands,489000,2018,6.72,8900,18.2,350,780,Sloop,
Fountaine Pajot,Lucia 40,39,Europe,Spain,457738,2018,6.7,10500,17.5,300,530,Sloop,17.2
Fountaine Pajot,Lucia 40,39,Europe,Spain,449087,2018,6.7,10500,17.5,300,530,Sloop,17.2
Fountaine Pajot,Lucia 40,39,Europe,Greece,398929,2018,6.7,10500,17.5,300,530,Sloop,17.2
Bali,4,40,Europe,Italy,316163,2018,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Bali,4,40,USA,Florida,449000,2018,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Bali,4.1,41,Europe,Italy,497958,2018,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Italy,497146,2018,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Spain,424393,2018,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Greece,406606,2018,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Croatia,387664,2018,6.72,10300,17.3,800,800,Sloop,
Seawind,1260,41,USA,Florida,595000,2018,6.9,10800,21.8,600,700,Fractional,21.7
Seawind,1260,41,USA,Florida,595000,2018,6.9,10800,21.8,600,700,Fractional,21.7
Lagoon,42 Owners Version,42.5,Caribbean,Martinique,484286,2018,7.7,12600,18.75,300,600,Sloop,19.8
Bali,4.3,43,Europe,Italy,547167,2018,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3,43,Europe,Italy,546613,2018,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3 LOFT,43,USA,Maryland,549000,2018,7.42,13500,20.38,800,800,Bali Catamarans,
Antares,44GS,44,USA,California,910000,2018,7.7,12700,15.6,640,900,Sloop,19.6
Nautitech,46 Fly,45,Europe,Greece,656646,2018,7.54,12500,18.1,600,600,Sloop,20.8
Fountaine Pajot,Saona 47,45.7,Europe,Turkey,789553,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,Europe,Turkey,788158,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,Europe,Greece,778247,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,Europe,Greece,778247,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,Europe,Greece,778247,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,Europe,Greece,777300,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,USA,Florida,828000,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,USA,Florida,828000,2018,7.7,15700,17.3,1000,700,Sloop,21.4
Lagoon,450S,45.8,Caribbean,Puerto Rico,545000,2018,13.96,16800,9,1040,700,Sloop,7.87
Lagoon,450S,45.8,USA,Florida,649900,2018,13.96,16800,9,1040,700,Sloop,7.87
Chris White,Atlantic 49MF,48.7,USA,Florida,990000,2018,8.23,12247,23,600,380,Fractional sloop,22.25
Fountaine Pajot,SABA 50,49,Europe,Croatia,934587,2018,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Europe,Croatia,934587,2018,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Europe,Italy,910312,2018,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Europe,Italy,910312,2018,7.99,14000,18.8,940,700,Sloop,
Lagoon,52 Sport,52,Caribbean,Mexico,1273178,2018,8.74,26920,22.61,992,960,Sloop,29.4
Lagoon,52F,52,Caribbean,U.S. Virgin Islands,1260030,2018,15.84,26000,10,1000,960,Sloop,8.74
HH Catamarans,HH55 Catamaran,55,USA,Rhode Island,2890000,2018,16.76,21000,16.76,1500,700,Sloop,8.05
Fountaine Pajot,Lucia 40,39,Europe,France,455511,2019,6.7,10500,17.5,300,530,Sloop,17.2
Fountaine Pajot,Astrea 42,41,Europe,Spain,697906,2019,7.2,11000,20.1,470,530,Fractional Sloop,18.6
Bali,4.1,41,Europe,Italy,510103,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Italy,509271,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,France,484598,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,France,483808,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Croatia,480324,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Croatia,462084,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Croatia,461585,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Croatia,409066,2019,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Greece,304103,2019,6.72,10300,17.3,800,800,Sloop,
Fountaine Pajot,Astrea 42,41,USA,Texas,671824,2019,7.2,11000,20.1,470,530,Fractional Sloop,18.6
Fountaine Pajot,Astrea 42,41,USA,Florida,499000,2019,7.2,11000,20.1,470,530,Fractional Sloop,18.6
Bali,4.3,43,Europe,Greece,522319,2019,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3,43,Europe,Greece,521912,2019,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.5,44.6,Europe,Croatia,583645,2019,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Croatia,583054,2019,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Croatia,558597,2019,7.88,15500,16.68,400,800,Fractional sloop,20.75
Nautitech,46 Fly,45,Europe,Greece,753112,2019,7.54,12500,18.1,600,600,Sloop,20.8
Nautitech,46 Fly,45,Europe,Greece,752525,2019,7.54,12500,18.1,600,600,Sloop,20.8
Fountaine Pajot,Saona 47,45.7,Europe,Italy,760007,2019,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,USA,Florida,874000,2019,7.7,15700,17.3,1000,700,Sloop,21.4
Fountaine Pajot,Saona 47,45.7,USA,Florida,874000,2019,7.7,15700,17.3,1000,700,Sloop,21.4
Lagoon,450S,45.8,Europe,Spain,594150,2019,13.96,16800,9,1040,700,Sloop,7.87
Lagoon,50F,48,Caribbean,British Virgin Islands,1082175,2019,8.17,17000,17.06,1040,960,Sloop,28.1
Lagoon,50F,48,Europe,Croatia,875796,2019,8.17,17000,17.06,1040,960,Sloop,28.1
Lagoon,50F,48,Europe,Croatia,875114,2019,8.17,17000,17.06,1040,960,Sloop,28.1
Privilege,Series 5,56,USA,Florida,1495000,2019,8.33,16900,20.63,1100,960,Sloop,21.3
